"name","address","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Harishchandra Ghat","Bangali Tola Road Near Manasarovar Ghat, Varanasi 221001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/b2/62/bb/photo0jpg.jpg?w=500&h=-1&s=1","","","4.0","139","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d4139125-Reviews-Harishchandra_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Mehrotra Silk Handlooms","K 4/49 Lalghat Rajmandir, Varanasi, Varanasi 221001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/30/5d/ad/caption.jpg?w=500&h=400&s=1","","","5.0","15","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d25338785-Reviews-Mehrotra_Silk_Handlooms-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Bharat Kala Bhavan","Varanasi Hindu University Opposit from Institute of Managemet Studies, Varanasi 221005 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/78/fa/f0/entrance.jpg?w=500&h=400&s=1","","","4.0","72","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d478217-Reviews-Bharat_Kala_Bhavan-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Annapurna Devi Mandir","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/a5/dd/36/annapurna-devi-mandir.jpg?w=500&h=-1&s=1","","","4.5","49","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d10171114-Reviews-Annapurna_Devi_Mandir-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Thai Temple","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ed/01/f1/img-20171009-wa0119-largejpg.jpg?w=500&h=400&s=1","","","4.5","80","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3727265-Reviews-Thai_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Sri Bindu Madhava Perumal Temple","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b0/21/84/nearby-temples-converted.jpg?w=500&h=-1&s=1","","","5.0","13","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d10172414-Reviews-Sri_Bindu_Madhava_Perumal_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Shiva Manikarnika Walk","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/0a/f1/79/caption.jpg?w=500&h=-1&s=1","","","5.0","14","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d26506931-Reviews-Shiva_Manikarnika_Walk-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Statue of Standing Buddha","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ec/40/bc/img-20171009-wa0122-largejpg.jpg?w=500&h=400&s=1","","","4.0","157","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d8647401-Reviews-Statue_of_Standing_Buddha-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Tulsi Ghat","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/21/48/f7/tulshi-ghat.jpg?w=500&h=400&s=1","","","4.5","51","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3913188-Reviews-Tulsi_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Man Mandir Ghat","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/2b/5f/99/the-architecture.jpg?w=500&h=400&s=1","","","4.5","89","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3705525-Reviews-Man_Mandir_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
