"name","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Laxminarayan Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/05/16/80/laxminarayan-temple.jpg?w=500&h=-1&s=1","","","4.5","26","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3727138-Reviews-Laxminarayan_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Chadwick Falls","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/b9/cd/cd/chadwick-falls.jpg?w=500&h=-1&s=1","","","4.0","64","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d4139115-Reviews-Chadwick_Falls-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Jubbal Palace","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/f6/8f/fb/jubbal-palace.jpg?w=500&h=400&s=1","","","4.5","22","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3268102-Reviews-Jubbal_Palace-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Dorje Drak Monastery","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/b3/b7/9b/tdac-nyingmapa-monastery.jpg?w=500&h=400&s=1","","","4.5","12","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3912844-Reviews-Dorje_Drak_Monastery-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Tani-Jubber Lake","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/7a/15/ad/the-lake-from-another.jpg?w=500&h=-1&s=1","","","4.0","32","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3733039-Reviews-Tani_Jubber_Lake-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Kamna Devi Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/1a/4a/e8/the-shrine.jpg?w=500&h=400&s=1","","","4.5","28","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3279829-Reviews-Kamna_Devi_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Kufri Ski Resort","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/1d/50/34/shimla.jpg?w=500&h=-1&s=1","","","3.0","103","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d320056-Reviews-Kufri_Ski_Resort-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Kotkhai Palace","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/5d/cd/60/kotkhai.jpg?w=500&h=-1&s=1","","","4.5","12","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3704968-Reviews-Kotkhai_Palace-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Shoolini Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/c3/0b/d0/sumant-s.jpg?w=100&h=-1&s=1","","","4.0","33","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3704889-Reviews-Shoolini_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Kiala Forest","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1","","","4.5","12","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705215-Reviews-Kiala_Forest-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Johnnie's Wax Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/b4/1e/7a/come-live-the-famous.jpg?w=500&h=-1&s=1","","","3.5","75","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d10437817-Reviews-Johnnie_s_Wax_Museum-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Luturu Mahadev Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1","","","4.5","14","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3704979-Reviews-Luturu_Mahadev_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Shimla Heritage Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/db/30/e1/shimla-heritage-museum.jpg?w=500&h=-1&s=1","","","4.0","31","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d7046776-Reviews-Shimla_Heritage_Museum-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Hip Hip Hurray Amusement Park","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/8b/2a/d4/inside-entry.jpg?w=500&h=400&s=1","","","3.0","70","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d1759023-Reviews-Hip_Hip_Hurray_Amusement_Park-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
