"name","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Sahastra Bahu Temples","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/52/46/26/img-20190422-173429-783.jpg?w=500&h=400&s=1","","","5.0","12","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d15808757-Reviews-Sahastra_Bahu_Temples-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Pratap Gaurav Kendra","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/e8/d3/63/pratap-gaurav-kendra.jpg?w=500&h=400&s=1","","","5.0","14","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d13199074-Reviews-Pratap_Gaurav_Kendra-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Cabwale","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a8/30/0c/cabwale.jpg?w=500&h=400&s=1","","","5.0","745","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d12056162-Reviews-Cabwale-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Kumbhalgarh Wildlife Sanctuary","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/de/dc/74/various-animals-seen.jpg?w=500&h=400&s=1","","","4.0","81","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d3705370-Reviews-Kumbhalgarh_Wildlife_Sanctuary-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Under the Sun Aquarium","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/b9/1b/44/the-mighty-omg-tank.jpg?w=500&h=400&s=1","","","4.0","69","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d13007434-Reviews-Under_the_Sun_Aquarium-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Raj Heena Painting","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/af/b9/89/raj-heena-painting.jpg?w=400&h=300&s=1","","","5.0","20","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d11642001-Reviews-Raj_Heena_Painting-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Lake Badi","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/40/c0/7e/lake-badi.jpg?w=500&h=400&s=1","","","4.5","46","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d12871132-Reviews-Lake_Badi-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Ahar Cenotaphs","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/b1/4e/a9/photo1jpg.jpg?w=500&h=-1&s=1","","","4.0","108","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d3491620-Reviews-Ahar_Cenotaphs-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Boutique Namaste India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d2/11/c5/tailorshop-in-udaipur.jpg?w=500&h=-1&s=1","","","5.0","517","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d3377486-Reviews-Boutique_Namaste_India-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"The Place of Art","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/45/f4/15/photo2jpg.jpg?w=500&h=400&s=1","","","5.0","13","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d15848516-Reviews-The_Place_of_Art-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Art World","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/cf/54/a8/art-world.jpg?w=500&h=-1&s=1","","","5.0","10","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d15629039-Reviews-Art_World-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Inspirit Art Gallery","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/13/a0/5e/buddha-the-peace.jpg?w=500&h=-1&s=1","","","5.0","20","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d10809497-Reviews-Inspirit_Art_Gallery-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Navlakha Mahal","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/51/82/56/maharana-sajjan-singh.jpg?w=500&h=-1&s=1","","","4.5","9","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d13153717-Reviews-Navlakha_Mahal-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Shilpgram Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/1f/69/a3/shilpgram-museum.jpg?w=400&h=300&s=1","","","4.0","90","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d5782413-Reviews-Shilpgram_Museum-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Udaipur Art Villa","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/68/b3/4c/heena.jpg?w=500&h=-1&s=1","","","4.5","19","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d10672962-Reviews-Udaipur_Art_Villa-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Ayurveda Ayurvedic Massage Centre","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/fe/72/22/ayurveda-ayurvedic-massage.jpg?w=500&h=-1&s=1","","","5.0","683","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d9601261-Reviews-Ayurveda_Ayurvedic_Massage_Centre-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Agrawal Tours and Travels","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/7b/10/3c/agrawal-tour-and-travels.jpg?w=500&h=400&s=1","","","5.0","544","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d10523603-Reviews-Agrawal_Tours_and_Travels-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"KRISHNA Tours & Taxi","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/4d/cd/17/yuvraj-tours-udaipur.jpg?w=500&h=400&s=1","","","5.0","389","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d15556974-Reviews-KRISHNA_Tours_Taxi-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Nehru Park","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6e/ae/5f/nehru-park-from-boat.jpg?w=500&h=-1&s=1","","","3.5","129","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d6440157-Reviews-Nehru_Park-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Mani Balaji Arts & Crafts","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/1c/39/79/best-handicraft-showroom.jpg?w=500&h=400&s=1","","","5.0","7","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d16830366-Reviews-Mani_Balaji_Arts_Crafts-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Gallery One","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/5f/0b/1b/at-gallery-one-owr-new.jpg?w=500&h=400&s=1","","","4.5","17","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d4478436-Reviews-Gallery_One-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Om Art Emporium","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/48/6f/4d/caption.jpg?w=500&h=400&s=1","","","5.0","6","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d25893350-Reviews-Om_Art_Emporium-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Machla Magra (Fish Hill)","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ef/34/09/dudh-talai.jpg?w=500&h=400&s=1","","","4.0","25","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d1746955-Reviews-Machla_Magra_Fish_Hill-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Kumbha Kala Krati Folk Dance","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a1/f1/66/group-enjoyed.jpg?w=500&h=-1&s=1","","","4.5","7","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d23116018-Reviews-Kumbha_Kala_Krati_Folk_Dance-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Atlas India Cab","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/37/7e/73/ajay-having-everything.jpg?w=500&h=-1&s=1","","","5.0","267","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d8610552-Reviews-Atlas_India_Cab-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Little Armani","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/19/44/1b/little-armani.jpg?w=500&h=400&s=1","","","4.5","674","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d2482379-Reviews-Little_Armani-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
