"name","address","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Mugal Road - Jammu to Srinagar","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ed/58/fc/way-to-peer-ki-galli.jpg?w=500&h=400&s=1","","","4.5","34","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d4362773-Reviews-Mugal_Road_Jammu_to_Srinagar-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Achabal Garden","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/bb/2c/e2/water-stream-at-mughal.jpg?w=500&h=400&s=1","","","4.0","49","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d4435342-Reviews-Achabal_Garden-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Nasim Bagh","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/10/0e/6b/during-autumn-season.jpg?w=500&h=-1&s=1","","","4.5","40","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3912910-Reviews-Nasim_Bagh-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Dachigam Wildlife Sanctuary","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/4e/6b/41/dachigam-wildlife-sanctuary.jpg?w=500&h=400&s=1","","","4.5","69","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3913546-Reviews-Dachigam_Wildlife_Sanctuary-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Hari Parbat","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/5e/b4/1b/img-20180621-wa0062-largejpg.jpg?w=500&h=400&s=1","","","4.0","52","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d338347-Reviews-Hari_Parbat-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Kashmir Tourism Cabs","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/76/92/2f/out-side-office-with.jpg?w=500&h=400&s=1","","","5.0","273","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d13804580-Reviews-Kashmir_Tourism_Cabs-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Durga Nag Temple","Buchwara - Dalgate Rd, Srinagar 190001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e1/af/e9/durga-nag-temple.jpg?w=500&h=-1&s=1","","","4.5","17","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d8059496-Reviews-Durga_Nag_Temple-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Pathar Masjid","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/14/be/61/img-20190113-220454-972.jpg?w=500&h=-1&s=1","","","4.5","11","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3705504-Reviews-Pathar_Masjid-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Jyeshtheshvara Temple","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/0d/a0/2c/divine-n-must-visit-place.jpg?w=500&h=-1&s=1","","","4.5","16","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3268804-Reviews-Jyeshtheshvara_Temple-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Charar-e-Sharif","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/bf/0a/2b/charar-e-sharif.jpg?w=500&h=-1&s=1","","","4.0","50","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d501150-Reviews-Charar_e_Sharif-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Lal Chowk","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/30/62/be/ta-img-20180606-102248.jpg?w=500&h=400&s=1","","","4.0","39","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d12945736-Reviews-Lal_Chowk-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Makhdoom Sahib Shrine","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/32/3f/13/makhdoom-sahib-shrine.jpg?w=500&h=400&s=1","","","4.0","23","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3705371-Reviews-Makhdoom_Sahib_Shrine-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Harwan Gardens","Murandar Bagh, Srinagar 191202 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/8f/d0/1a/harwan-bagh-taken-on.jpg?w=500&h=400&s=1","","","4.5","7","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d15556027-Reviews-Harwan_Gardens-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Fotu La Pass","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/4b/bb/94/the-khangral-village.jpg?w=500&h=-1&s=1","","","4.0","19","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d12833928-Reviews-Fotu_La_Pass-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Nilagrad River","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1","","","4.5","5","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3928311-Reviews-Nilagrad_River-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
